;beta;rdl;XH;YH;NH;XPl;XPr;YPl;YPr;delta;n;u
227;-20.0;-0.7942129815012835;-146.46826661365935;10.76240944935958;74.42467864988876;11.492063701243065;14.684081928664977;-2.320423447747369;-2.783632805270808;0;14.8;1.458
217;-20.0;-0.5755874264991808;-120.07754061436935;-27.720675130012012;-50.690351146624266;15.05964218453878;17.326248918450553;-5.234493295306923;-5.086259849073889;0;14.8;1.458
202;-20.0;-0.3999015480363112;-79.55013853862455;-32.82071238106576;-85.72860849046745;15.70981223300028;17.009100430119915;-6.360889005037961;-6.572387979222293;0;14.8;1.458
150;-20.0;0.0;-18.128286032276016;-115.06631608235949;-167.48243372287143;16.070244852531996;17.800139120756818;-10.041716750139122;-6.1773601335559265;0;14.8;1.458
202;-20.0;0.3999015480363112;32.93637597984926;-240.59733677147662;-304.8237493805003;15.70981223300028;17.009100430119915;-13.616890732295012;-8.226545283710301;0;14.8;1.458
217;-20.0;0.5755874264991808;65.50994979286833;-339.2877243121787;-439.07410724992747;15.05964218453878;17.326248918450553;-17.84918742346058;-10.25268651565279;0;14.8;1.458
227;-20.0;0.7942129815012835;93.32460609040353;-380.517099763313;-516.1704701264005;11.492063701243065;14.684081928664977;-16.856517133647976;-12.685232148217562;0;14.8;1.458
148;-14.0;0.0;-14.46245101088647;-81.24413167444271;-103.73162519440125;13.94751166407465;14.833877656817004;-6.6173659927423545;-4.564065225505443;0;14.8;1.458
225;-10.0;-0.78387010175102;-81.19953098959157;91.0135490681614;171.05986076277725;9.814486200198385;9.087733547470414;2.5861043572752096;3.2027548988385313;0;14.8;1.458
215;-10.0;-0.5715927202374748;-66.57373250802246;63.835442532462636;92.31129182701596;11.017968078499978;11.242041650776258;0.7623316200146566;0.658416528838262;0;14.8;1.458
200;-10.0;-0.39788794330058613;-46.29914879510043;23.84336769555253;16.29065836112065;12.250747339155845;13.582837252406481;-3.1664692428650474;-3.561017130852647;0;14.8;1.458
146;-10.0;0.0;-11.796239809422977;-53.881397564849124;-72.42294250926417;12.657024880889361;13.749560614081526;-4.514339862361037;-3.4290942244573848;0;14.8;1.458
200;-10.0;0.39788794330058613;24.246208652946244;-162.0042073237647;-188.20675010786752;12.250747339155845;13.582837252406481;-5.697294071653924;-3.9483348745962714;0;14.8;1.458
215;-10.0;0.5715927202374748;33.216861043376;-213.02744487589695;-270.0952847203493;11.017968078499978;11.242041650776258;-4.963181963448999;-3.7826316096463435;0;14.8;1.458
225;-10.0;0.78387010175102;46.215954861684594;-255.0092281379288;-364.6455511441726;9.814486200198385;9.087733547470414;-10.43533243867056;-9.064205968605975;0;14.8;1.458
144;-8.0;0.0;-10.00349597238205;-45.08449942462602;-57.934374683544306;11.885917146144994;13.293532796317606;-4.2578561565017266;-3.3793540621403912;0;14.8;1.458
142;-6.0;0.0;-8.625777474029524;-32.179699289229085;-44.801611919081466;11.595074357572443;13.097222525970475;-4.015306724986331;-3.3154857025697098;0;14.8;1.458
223;-4.0;-0.7766552498535169;-43.23649113091158;149.6294449955585;218.98993435709403;7.85335147629718;7.17842213539475;9.31809052302442;9.717577807012745;0;14.8;1.458
213;-4.0;-0.5672716003131596;-35.46206769105149;117.17159836754786;132.36844712098798;10.101416753203486;9.370225594074956;4.012860087809494;4.2092336794969665;0;14.8;1.458
198;-4.0;-0.39657271240641684;-24.56330790260428;71.81096975416129;62.34195657835914;11.48731245635263;11.011685337576495;0.14148795252877133;0.24025581589312028;0;14.8;1.458
168;-4.0;-0.19943720167133663;-18.451941010184527;22.632818418868123;1.513087217998617;9.37916813564244;10.041601114682267;-0.10331471564860562;-3.149895258107927;0;14.8;1.458
140;-4.0;0.0;-7.730619737561509;-21.461989611809734;-29.42767187534172;11.20327392017496;12.120606889010388;-4.4451804264625485;-3.6349059048660477;0;14.8;1.458
168;-4.0;0.19943720167133663;-2.8251871874898917;-74.80649329096114;-75.22710340520791;9.37916813564244;10.041601114682267;-2.1641253890025567;-5.4779617884037;0;14.8;1.458
198;-4.0;0.39657271240641684;5.457027213703242;-115.42439182086441;-132.9446020786325;11.48731245635263;11.011685337576495;-2.448603592936327;-2.494514011999745;0;14.8;1.458
213;-4.0;0.5672716003131596;8.445742501696317;-165.67276358760927;-209.2592468086031;10.101416753203486;9.370225594074956;-2.899024399253617;-2.6661905532509538;0;14.8;1.458
223;-4.0;0.7766552498535169;11.941985782074363;-205.1990118560236;-298.2980263175591;7.85335147629718;7.17842213539475;-8.799565418373259;-8.177131748873212;0;14.8;1.458
136;-2.0;0.0;-7.157910333515582;-10.569373974849645;-15.192332148715147;11.370228540185895;11.250331875341717;-4.0010453799890655;-3.5098858939311097;0;14.8;1.458
221;0.01;-0.7699130369453558;-10.013157554992024;178.31686564095384;248.25206758355475;7.813445731730514;7.4333344573084785;12.210362259791424;12.096343265363972;0;14.8;1.458
205;0.01;-0.5636005034806532;-10.108569414770257;143.47241902562521;163.48118841223288;10.019025244603013;9.52062741286046;4.984048659974507;4.913749138256207;0;14.8;1.458
190;0.01;-0.3969927145525863;-7.2345355257052795;96.61158068690597;93.65053214732337;11.395649876402395;11.043853885383673;4.535660355548782;3.9890012366452097;0;14.8;1.458
157;0.01;-0.19791324883809713;-6.319312779971712;51.39743459370936;37.82891799076262;12.090817626213372;11.639900673106549;5.590295917033691;4.798788876183912;0;14.8;1.458
118;0.01;0.0;-6.0202983720930225;-1.003420953488372;0.7711521886046512;11.204172093023255;11.248073255813955;-2.781944593023256;-2.372452162790698;0;14.8;1.458
157;0.01;0.19791324883809713;-7.946561801423634;-50.93600381463959;-37.131251890530066;12.090817626213372;11.639900673106549;0.679337792268635;0.03922847265329743;0;14.8;1.458
190;0.01;0.3969927145525863;-10.178718361045682;-93.43622255606485;-97.7675479832772;11.395649876402395;11.043853885383673;-1.6916466182602514;-1.5790563336847812;0;14.8;1.458
205;0.01;0.5636005034806532;-14.101122378262529;-139.43741677152687;-172.16434681797057;10.019025244603013;9.52062741286046;-1.7411168986429377;-1.8336189906140248;0;14.8;1.458
221;0.01;0.7699130369453558;-20.56693256128705;-179.36023522234916;-259.6891527575082;7.813445731730514;7.4333344573084785;-7.2441822830472375;-6.779046230480249;0;14.8;1.458
120;2.0;0.0;-6.806776744186046;9.11362965116279;15.960118848837208;11.168922674418605;11.296622674418604;-0.3910086627906977;-0.15356232558139535;0;14.8;1.458
229;4.0;-0.7632728972439955;22.73890207594003;222.22706565379804;316.8713477228072;8.180467830038896;7.934104268578455;14.807125006450292;15.149676913687866;0;14.8;1.458
207;4.0;-0.5588781616149032;8.705977378335861;166.04027570807764;202.60358997891612;10.162009675743533;9.870169469907983;5.869856878471851;5.865826287830106;0;14.8;1.458
192;4.0;-0.39761120861190674;5.1316699204636596;117.31658942201179;128.66812125746125;11.330331825193488;11.090977763041735;6.82419006365636;6.451720360129743;0;14.8;1.458
160;4.0;-0.1974153444980146;0.7786407042409813;72.91855126204234;70.70993255696709;12.34841076211199;11.663773386784488;6.449847641515992;6.642484718912659;0;14.8;1.458
122;4.0;0.0;-6.844151162790698;21.362904069767442;30.167611918604653;12.028360465116279;11.165227906976744;0.7192763662790698;1.6543411860465116;0;14.8;1.458
160;4.0;0.1974153444980146;-15.994202111217724;-22.28913473878653;-4.807190855339179;12.34841076211199;11.663773386784488;4.159958951507264;4.897664490389664;0;14.8;1.458
192;4.0;0.39761120861190674;-23.788137214066722;-67.66078100211021;-66.35347494144156;11.330331825193488;11.090977763041735;0.740495687233083;1.590530795882941;0;14.8;1.458
207;4.0;0.5588781616149032;-33.23308284298233;-112.96700740504733;-137.80896343224944;10.162009675743533;9.870169469907983;-0.6782733734213453;-0.1015340858099032;0;14.8;1.458
