;beta;rdl;XH;YH;NH;XPl;XPr;YPl;YPr;delta;n;u
228;-20.0;-0.7927647654257091;-138.79145729765102;10.807824403751653;71.21615599174771;15.31914971907618;18.90798834655216;-2.6931896915846103;-2.275949135290971;0;15.8;1.458
218;-20.0;-0.5752069437964643;-114.70266290909947;-28.432681090809353;-48.8933947899238;18.488711574996536;21.276482329006974;-5.544527754437479;-4.578446185569447;0;15.8;1.458
203;-20.0;-0.3979705230478157;-72.41624232685845;-36.956857814786076;-85.2078468784845;19.212083392068067;20.779548738597693;-6.751091458611041;-6.244955532936651;0;15.8;1.458
151;-20.0;0.0;-11.739090139140956;-115.20690260133092;-164.98828130671507;19.690157289776167;21.613932244404115;-10.269411978221415;-5.389691748336357;0;15.8;1.458
203;-20.0;0.3979705230478157;41.23164008519635;-245.14432707313085;-303.4980066340361;19.212083392068067;20.779548738597693;-13.083746167567066;-7.363123708970083;0;15.8;1.458
218;-20.0;0.5752069437964643;72.1343356262712;-338.77088178797857;-441.3129203767429;18.488711574996536;21.276482329006974;-17.211226174855447;-9.24546662251136;0;15.8;1.458
228;-20.0;0.7927647654257091;99.60712436741846;-379.9325202525889;-514.8759069780267;15.31914971907618;18.90798834655216;-16.502953564229344;-11.878317143778798;0;15.8;1.458
149;-14.0;0.0;-7.739886221294363;-81.760130480167;-102.55188507306889;17.625563674321505;18.709483298538622;-6.926246346555324;-3.7859563100208766;0;15.8;1.458
226;-10.0;-0.7744931227865601;-69.60963373725635;89.0831198494087;179.2471195226677;13.501515130253384;12.871264382939842;2.966789083187888;3.7470258123979203;0;15.8;1.458
216;-10.0;-0.5723162349295281;-60.76591118717603;61.18348319791457;93.05444941271584;14.562744126772756;15.006011367972278;-0.10652415284531669;0.3956175775082096;0;15.8;1.458
201;-10.0;-0.39687095547497553;-39.12389596622184;23.7130258364419;17.474089576191076;15.880796890205882;17.38763560759633;-3.23054753676938;-2.733448034644048;0;15.8;1.458
147;-10.0;0.0;-5.096373316831683;-53.970389851485145;-71.10981720297029;16.220507425742575;17.44038985148515;-4.9008514851485145;-2.6307135272277224;0;15.8;1.458
201;-10.0;0.39687095547497553;31.54266708705289;-161.26882923720734;-186.38092047416814;15.880796890205882;17.38763560759633;-5.182886270604297;-3.268825288839128;0;15.8;1.458
216;-10.0;0.5723162349295281;42.13848799525684;-214.3632838443792;-272.0447398260492;14.562744126772756;15.006011367972278;-5.364540129982965;-3.5296639613465928;0;15.8;1.458
226;-10.0;0.7744931227865601;51.04351463260518;-255.99685391917615;-359.53151256685373;13.501515130253384;12.871264382939842;-10.078147920397189;-8.006064103095595;0;15.8;1.458
145;-8.0;0.0;-3.1692810807736063;-45.50205915813424;-56.955492150170656;15.49806598407281;17.096433447098974;-4.921017064846416;-2.742086899886234;0;15.8;1.458
143;-6.0;0.0;-1.944022079081633;-32.29109693877551;-44.31038801020409;15.249897959183672;16.816677295918367;-4.648229591836735;-2.6247447704081632;0;15.8;1.458
