beta;rdl;XH;YH;NH;XPl;XPr;YPl;YPr;delta;n;u;vm
-20.0;-0.7942129815012835;-0.20703275240418656;0.007298732501751681;0.028155234105667906;0.014990925272523091;0.018922212074335743;-0.0014630747624579258;-0.0020289537305105392;0;14.8;1.458;0.3420201433256687
-20.0;-0.5755874264991808;-0.1816959386368116;-0.05038878971667147;-0.010156728167768213;0.01934925179979307;0.022150011136074007;-0.0050230435139242535;-0.00484195436228511;0;14.8;1.458;0.3420201433256687
-20.0;-0.3999015480363112;-0.13255592302896924;-0.06196514784262375;-0.019849509524051442;0.02014353099581189;0.021762567194406862;-0.0063991030245727125;-0.006657480406876695;0;14.8;1.458;0.3420201433256687
-20.0;0.0;-0.058800106212574726;-0.169163961968858;-0.04499431450307051;0.02058385292687907;0.02272893834101015;-0.010895780330734161;-0.006174895273336041;0;14.8;1.458;0.3420201433256687
-20.0;0.3999015480363112;0.004863046863771543;-0.3340276389720028;-0.08714203782971032;0.02014353099581189;0.021762567194406862;-0.015263385886994009;-0.008678279022571763;0;14.8;1.458;0.3420201433256687
-20.0;0.5755874264991808;0.04502672110524202;-0.46739899031460747;-0.1276566165881311;0.01934925179979307;0.022150011136074007;-0.020433764345870613;-0.011153511206115138;0;14.8;1.458;0.3420201433256687
-20.0;0.7942129815012835;0.08590982560770191;-0.5207131514979827;-0.15286177581726582;0.014990925272523091;0.018922212074335743;-0.01922107027980305;-0.014125226673298874;0;14.8;1.458;0.3420201433256687
-14.0;0.0;-0.04866430918858627;-0.11753680651454443;-0.027614484548554905;0.01799061933471336;0.01910520978517337;-0.006712427724892613;-0.004204016138654595;0;14.8;1.458;0.24192189559966773
-10.0;-0.78387010175102;-0.11921088261295149;0.12762715724346207;0.05156904656992101;0.012941515411299793;0.012085442057976464;0.004530977054353949;0.005284307198577732;0;14.8;1.458;0.17364817766693033
-10.0;-0.5715927202374748;-0.10507615463023638;0.08548677135190198;0.02843132997606482;0.014411747116040052;0.014717249094181269;0.002302968017487138;0.002176020313160988;0;14.8;1.458;0.17364817766693033
-10.0;-0.3978879433005861;-0.08428048529765468;0.019957102303448986;0.009633368168987761;0.015917769920903845;0.017576878283355364;-0.0024966452499501153;-0.002978644043962957;0;14.8;1.458;0.17364817766693033
-10.0;0.0;-0.04276706704782242;-0.07748337886718137;-0.019766620456730714;0.016414098227586382;0.01778055561051334;-0.004143269228590772;-0.0028174806371341664;0;14.8;1.458;0.17364817766693033
-10.0;0.3978879433005861;0.0019011373859574021;-0.2130545709046826;-0.058034079313217295;0.015917769920903845;0.017576878283355364;-0.0055884233394385445;-0.0034518101438663225;0;14.8;1.458;0.17364817766693033
-10.0;0.5715927202374748;0.01683286379317856;-0.2735457699949302;-0.08699218301381514;0.014411747116040052;0.014717249094181269;-0.004691596460881994;-0.003249379016235077;0;14.8;1.458;0.17364817766693033
-10.0;0.78387010175102;0.03644604114380587;-0.34683767651696534;-0.10981459826643422;0.012941515411299793;0.012085442057976464;-0.011376640304777794;-0.00970160585362142;0;14.8;1.458;0.17364817766693033
-8.0;0.0;-0.03921275777524282;-0.06611004839791886;-0.015061931786418035;0.01547207570125508;0.017223449958979793;-0.0038299363210477022;-0.0027567156476849077;0;14.8;1.458;0.13917310096006544
